cons,averageTTL,active,life,domainName,target
1,116,23.01437372,24.99383984,skitch.com,0
1,40,12.98562628,13.99863107,citygf.com,0
2,57,19.45516769,20.99931554,foodrepublic.com,0
1,48,25.98767967,26.99794661,klipsch.com,0
1,241,26.99247091,28.00273785,harman.com,0
1,56,9.295003422,12.99657769,smallseotools.com,0
1,57,20.04380561,26.99794661,popculture.com,0
1,46,16.31759069,24.99931554,lytro.com,0
1,54,18.79534565,28,improveverywhere.com,0
1,244,24.98015058,25.99315537,hasselblad.com,0
1,56,21.00205339,21.99863107,donorperfect.net,0
1,56,9.98220397,11.99726215,thepennyhoarder.com,0
1,232,11.52087611,12.99931554,ustraveldocs.com,0
1,56,23.99726215,33.99589322,unescap.org,0
1,56,26.4366872,26.56810404,premiere.fr,0
1,56,4.533880903,5.998631075,buyoriginalessay.com,0
1,116,11.10472279,19.00068446,revolvy.com,0
1,51,21.98220397,24,very.co.uk,0
1,56,2.978781656,4,listcbdoil.com,0
1,50,20.50102669,27.99726215,artmajeur.com,0
1,45,15.00068446,16,univ-paris-diderot.fr,0
1,56,7.835728953,12.99657769,pubhtml5.com,0
1,51,24.98562628,25.99589322,greatplacetowork.com,0
1,42,6.800821355,8,themesdna.com,0
1,56,22.98699521,25.99589322,nwlc.org,0
1,50,15.00068446,16,ngoinhachung.net,0
1,50,14.10540726,24,searchenginepeople.com,0
1,57,16.0054757,17.00205339,tripadvisor.jp,0
1,56,14.83915127,20,adform.com,0
1,56,21.99863107,23.00068446,rightwingwatch.org,0
1,57,23.98631075,24.99657769,dkny.com,0
1,48,23.00068446,23.99726215,frankfurt-airport.com,0
2,119,17.01300479,20,roodo.com,0
2,39,15.00068446,16,feed2js.org,0
1,56,14.71047228,15.99726215,omaze.com,0
1,49,10.41204654,11.00068446,memoiselle.com,0
1,29,22.98425736,27.99726215,jwz.org,0
1,52,9.618069815,11.00068446,fjcdn.com,0
1,56,23.50718686,32.99657769,jimmunol.org,0
1,57,20.95824778,21.99863107,jivesoftware.com,0
1,239,23.63312799,25.99589322,sierratradingpost.com,0
1,42,16.00273785,16.99931554,yourfilelink.com,0
1,240,30.18754278,39.99726215,jax.org,0
1,45,26.57905544,27.00342231,softwareag.com,0
2,116,22.91307324,25.00205339,soompi.com,0
1,109,25.34428474,28.99383984,homeclick.com,0
1,50,15.18138261,20,lyrics007.com,0
1,43,23.06365503,24.06023272,sponichi.co.jp,0
1,56,17.32238193,18.99794661,gazeta.ua,0
1,56,5.503080082,14.00136893,postmates.com,0
1,56,23.8384668,26.99520876,thecommonwealth.org,0
1,47,21.60164271,26.00136893,net-security.org,0
1,56,8.917180014,9.998631075,chartjs.org,0
1,41,15.96167009,16.99931554,yiqifa.com,0
1,56,8.898015058,14.00136893,ko-fi.com,0
1,48,25.99041752,27.00068446,rwe.com,0
1,49,8.413415469,8.999315537,eatingaftergastricbypass.net,0
1,56,3.956194387,4.999315537,viagrauga.com,0
1,56,13.75770021,15.00068446,clashmusic.com,0
1,56,6.819986311,10.99794661,steamdb.info,0
2,56,8.271047228,9.998631075,bootstrapmade.com,0
1,53,26.31348392,27.99726215,jconline.com,0
1,56,16.00273785,16.99931554,weddingbee.com,0
1,46,19.00342231,22.00136893,justlanded.com,0
2,232,9.2183436,9.998631075,teepublic.com,0
1,232,26.06160164,35.99726215,nylon.com,0
1,56,17.53593429,21.99863107,dogtime.com,0
1,49,14.99794661,16,dbpedia.org,0
1,115,18.00410678,19.00068446,plazoo.com,0
1,40,18.87748118,24,diandian.com,0
1,54,19.23887748,24.99931554,fpif.org,0
1,236,22.91307324,24,bedandbreakfast.com,0
1,46,26.00684463,27.08555784,staralliance.com,0
1,245,27.18959617,27.99726215,pobox.com,0
1,56,25.95756331,26.99794661,sfwa.org,0
1,53,24.49828884,25.99589322,madewell.com,0
1,56,21.37713895,24,theathletic.com,0
1,56,1.002053388,1.998631075,koushatarabar.com,0
1,52,21.76591376,27.00068446,indelible.org,0
1,244,21.9137577,23.00068446,lex18.com,0
1,237,21.49760438,22.49691992,bcit.ca,0
1,56,21.91649555,23.00068446,snort.org,0
1,51,10.50513347,16.99931554,uberant.com,0
1,53,26.28610541,26.99794661,serve.com,0
1,49,6.012320329,8,iomega.com,0
1,49,22.72416153,24,peru.com,0
2,56,17.98494182,26.99794661,seedprod.com,0
2,119,12.01368925,12.99657769,500.co,0
1,78,20.20260096,21.99863107,16888.com,0
1,56,26.99247091,28.00273785,networkcomputing.com,0
1,119,25.98767967,26.99794661,miramax.com,0
1,53,7.983572895,16.99931554,inventorspot.com,0
1,56,2.896646133,4.999315537,fucklowes.com,0
1,236,24.13963039,25.99589322,websense.com,0
1,56,25.98220397,26.99520876,studyabroad.com,0
1,49,24.31759069,25.5633128,finanzas.com,0
1,56,12.96098563,17.99863107,thenationonlineng.net,0
1,110,2.85284052,10.99794661,quartoknows.com,0
1,22,11.96167009,13.99863107,challengeroulette.com,0
1,56,13.34154689,13.99863107,wanelo.com,0
1,56,10.9486653,16,brusheezy.com,0
1,222,24.90075291,27.99726215,usfirst.org,0
1,56,20.00273785,21.99863107,ducttapemarketing.com,0
1,56,9.722108145,12,geneticliteracyproject.org,0
1,56,19.00342231,20,webconfs.com,0
1,57,24.45174538,25.99315537,seahawks.com,0
1,56,14.2642026,15.00068446,baymard.com,0
1,40,2.663928816,10.00136893,cebpubservice.com,0
1,55,18.83641342,22.00136893,92y.org,0
1,239,22.98973306,24,iwarp.com,0
1,235,22.7980835,24.99657769,diarioinformacion.com,0
1,56,15.04175222,19.00068446,nouw.com,0
1,45,14.00684463,15.00068446,lerablog.org,0
1,31,12.07939767,13.07597536,lixil.co.jp,0
1,56,20.99657769,22.03696099,rabble.ca,0
1,56,23.01163587,23.02258727,celebritycruises.com,0
1,49,0,1.998631075,leyalena.com,0
1,48,11.00342231,12,hostenko.com,0
1,244,21.99041752,23.00068446,changiairport.com,0
1,57,21.91649555,23.00068446,nsvrc.org,0
1,56,20.02464066,25.00479124,parquesnacionales.gov.co,0
1,51,22.86105407,25.99589322,arl.org,0
1,54,21.99041752,23.00068446,cb2.com,0
1,56,24.98562628,25.99315537,paloaltoonline.com,0
1,56,26.99520876,27.99726215,skeptic.com,0
1,54,6.997946612,8,academic-writing.org,0
1,54,9.834360027,14.99794661,kaiserhealthnews.org,0
1,240,26.91307324,28.99657769,lexis.com,0
1,56,13.33333333,16,shape5.com,0
1,49,0,0.999315537,cialislet.com,0
1,46,21.00205339,21.99863107,volokh.com,0
2,56,26.98699521,27.99726215,ddj.com,0
2,51,6.943189596,8,gccroboticschallenge.com,0
